timestamp,can_id,name,dlc,raw_data,RPM,Speed,Coolant,WheelSpeed_FL,WheelSpeed_FR,WheelSpeed_RL,WheelSpeed_RR
1763619152.8278785,0x100,EngineData,8,0106037100000000,134148,184,88,,,,
1763619152.8280485,0x200,WheelSpeeds,8,0605060700000000,,,,2,131,3,128
1763619152.9301271,0x200,WheelSpeeds,8,0303030400000000,,,,129,129,130,0
1763619152.932094,0x100,EngineData,8,00E1007100000000,115200,56,88,,,,
1763619153.0339751,0x100,EngineData,8,0106037100000000,134148,184,88,,,,
1763619153.034157,0x200,WheelSpeeds,8,0000000000000000,,,,0,0,0,0
1763619153.1364908,0x100,EngineData,8,012C067100000000,153612,56,88,,,,
1763619153.1373053,0x200,WheelSpeeds,8,0202030200000000,,,,1,1,129,0
1763619153.241764,0x100,EngineData,8,0151097100000000,172560,184,88,,,,
1763619153.2419636,0x200,WheelSpeeds,8,0505040600000000,,,,130,130,3,0
1763619153.343808,0x100,EngineData,8,01770C7100000000,192024,56,88,,,,
1763619153.3446033,0x200,WheelSpeeds,8,0808070A00000000,,,,4,3,133,0
1763619153.4488373,0x100,EngineData,8,019C0F7200000000,210972,185,-40,,,,
1763619153.4490547,0x200,WheelSpeeds,8,0C0C0A0B00000000,,,,6,5,5,128
1763619153.5519567,0x100,EngineData,8,01C2127200000000,230436,57,-40,,,,
1763619153.5521612,0x200,WheelSpeeds,8,0F0E100E00000000,,,,135,8,7,0
1763619153.657599,0x100,EngineData,8,01E7157200000000,249384,185,-40,,,,
1763619153.657787,0x200,WheelSpeeds,8,1112131200000000,,,,137,9,137,0
1763619153.7579353,0x100,EngineData,8,020D187200000000,6704,57,-40,,,,
1763619153.7580717,0x200,WheelSpeeds,8,1415151500000000,,,,10,138,138,128
1763619153.859197,0x200,WheelSpeeds,8,1717161800000000,,,,139,139,12,0
1763619153.8598225,0x100,EngineData,8,02321B7200000000,25652,185,-40,,,,
1763619153.9609025,0x100,EngineData,8,02581E7200000000,45116,57,-40,,,,
1763619153.9610202,0x200,WheelSpeeds,8,1A1A1B1C00000000,,,,13,13,142,0
1763619154.0636249,0x100,EngineData,8,027D217200000000,64064,185,-40,,,,
1763619154.0638907,0x200,WheelSpeeds,8,1D1E1E1F00000000,,,,143,15,15,128
1763619154.1669905,0x200,WheelSpeeds,8,20211F2100000000,,,,16,143,144,128
1763619154.1676412,0x100,EngineData,8,02A3247200000000,83528,57,-40,,,,
1763619154.2688344,0x200,WheelSpeeds,8,2424242400000000,,,,18,18,18,0
1763619154.2690144,0x100,EngineData,8,02C8277200000000,102476,185,-40,,,,
1763619154.3736298,0x100,EngineData,8,02EE2A7200000000,121940,57,-40,,,,
1763619154.3738673,0x200,WheelSpeeds,8,2626272600000000,,,,19,19,147,0
1763619154.4774966,0x100,EngineData,8,03132D7200000000,140888,185,-40,,,,
1763619154.4776943,0x200,WheelSpeeds,8,29292B2B00000000,,,,148,149,149,128
1763619154.5804887,0x100,EngineData,8,0339307200000000,160352,57,-40,,,,
1763619154.5805843,0x200,WheelSpeeds,8,2D2C2D2B00000000,,,,150,22,149,128
1763619154.6827996,0x100,EngineData,8,035E337200000000,179300,185,-40,,,,
1763619154.6829145,0x200,WheelSpeeds,8,2F2F313000000000,,,,151,152,152,0
1763619154.783814,0x100,EngineData,8,0384367200000000,198764,57,-40,,,,
1763619154.7839046,0x200,WheelSpeeds,8,3333323200000000,,,,153,153,25,0
1763619154.884166,0x100,EngineData,8,03A9397200000000,217712,185,-40,,,,
1763619154.884437,0x200,WheelSpeeds,8,3535373400000000,,,,154,155,154,0
1763619154.9844706,0x100,EngineData,8,03CF3C7200000000,237176,57,-40,,,,
1763619154.9848995,0x200,WheelSpeeds,8,3939373700000000,,,,156,155,155,128
1763619155.086378,0x100,EngineData,8,03F43F7200000000,256124,185,-40,,,,
1763619155.0865912,0x200,WheelSpeeds,8,3B3C3A3B00000000,,,,158,29,29,128
1763619155.1918054,0x200,WheelSpeeds,8,3F3E403D00000000,,,,159,32,30,128
